# schema_version: 2026-05-18_v1
# columns: filepath, processed_at, agent, output_rows, output_files, status, note
# agent enum: vocab-extractor | mistake-auditor | listening-coach | speaking-coach | other
# status enum: ok | partial | failed
# Append-only.
filepath,processed_at,agent,output_rows,output_files,status,note
input/html/deutsch-vorbereitung/horen/1.8/1.8_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.8 batch-extract
input/html/deutsch-vorbereitung/horen/1.9/1.9_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.9 batch-extract
input/html/deutsch-vorbereitung/horen/1.9/1.9_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.9 batch-extract
input/html/deutsch-vorbereitung/horen/1.10/1.10_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.10 batch-extract
input/html/deutsch-vorbereitung/horen/1.10/1.10_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.10 batch-extract
input/html/deutsch-vorbereitung/horen/1.11/1.11_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.11 batch-extract
input/html/deutsch-vorbereitung/horen/1.11/1.11_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.11 batch-extract
input/html/deutsch-vorbereitung/horen/1.12/1.12_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.12 batch-extract
input/html/deutsch-vorbereitung/horen/1.12/1.12_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.12 batch-extract
input/html/deutsch-vorbereitung/horen/1.13/1.13_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.13 batch-extract
input/html/deutsch-vorbereitung/horen/1.13/1.13_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.13 batch-extract
input/html/deutsch-vorbereitung/horen/1.14/1.14_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.14 batch-extract
input/html/deutsch-vorbereitung/horen/1.14/1.14_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.14 batch-extract
input/html/deutsch-vorbereitung/horen/1.15/1.15_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.15 batch-extract
input/html/deutsch-vorbereitung/horen/1.15/1.15_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.15 batch-extract
input/html/deutsch-vorbereitung/horen/1.16/1.16_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.16 batch-extract
input/html/deutsch-vorbereitung/horen/1.16/1.16_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.16 batch-extract
input/html/deutsch-vorbereitung/horen/1.17/1.17_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.17 batch-extract
input/html/deutsch-vorbereitung/horen/1.17/1.17_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.17 batch-extract
input/html/deutsch-vorbereitung/horen/1.18/1.18_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.18 batch-extract
input/html/deutsch-vorbereitung/horen/1.18/1.18_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.18 batch-extract
input/html/deutsch-vorbereitung/horen/1.19/1.19_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.19 batch-extract
input/html/deutsch-vorbereitung/horen/1.19/1.19_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.19 batch-extract
input/html/deutsch-vorbereitung/horen/1.20/1.20_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.20 batch-extract
input/html/deutsch-vorbereitung/horen/1.20/1.20_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.20 batch-extract
input/html/deutsch-vorbereitung/horen/1.21/1.21_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.21 batch-extract
input/html/deutsch-vorbereitung/horen/1.21/1.21_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.21 batch-extract
input/html/deutsch-vorbereitung/horen/1.22/1.22_transcript.md,2026-05-22 16:55:19,vocab-extractor,1,vocab_master.csv,ok,horen/1.22 batch-extract
input/html/deutsch-vorbereitung/horen/1.22/1.22_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.22 batch-extract
input/html/deutsch-vorbereitung/horen/1.23/1.23_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.23 batch-extract
input/html/deutsch-vorbereitung/horen/1.23/1.23_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.23 batch-extract
input/html/deutsch-vorbereitung/horen/1.24/1.24_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.24 batch-extract
input/html/deutsch-vorbereitung/horen/1.24/1.24_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.24 batch-extract
input/html/deutsch-vorbereitung/horen/1.25/1.25_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.25 batch-extract
input/html/deutsch-vorbereitung/horen/1.25/1.25_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.25 batch-extract
input/html/deutsch-vorbereitung/horen/1.26/1.26_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.26 batch-extract
input/html/deutsch-vorbereitung/horen/1.26/1.26_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.26 batch-extract
input/html/deutsch-vorbereitung/horen/1.27/1.27_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.27 batch-extract
input/html/deutsch-vorbereitung/horen/1.27/1.27_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.27 batch-extract
input/html/deutsch-vorbereitung/horen/1.28/1.28_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.28 batch-extract
input/html/deutsch-vorbereitung/horen/1.28/1.28_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.28 batch-extract
input/html/deutsch-vorbereitung/horen/1.29/1.29_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.29 batch-extract
input/html/deutsch-vorbereitung/horen/1.29/1.29_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.29 batch-extract
input/html/deutsch-vorbereitung/horen/1.30/1.30_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.30 batch-extract
input/html/deutsch-vorbereitung/horen/1.30/1.30_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.30 batch-extract
input/html/deutsch-vorbereitung/horen/1.31/1.31_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.31 batch-extract
input/html/deutsch-vorbereitung/horen/1.31/1.31_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.31 batch-extract
input/html/deutsch-vorbereitung/horen/1.32/1.32_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.32 batch-extract
input/html/deutsch-vorbereitung/horen/1.32/1.32_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.32 batch-extract
input/html/deutsch-vorbereitung/horen/1.33/1.33_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.33 batch-extract
input/html/deutsch-vorbereitung/horen/1.33/1.33_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.33 batch-extract
input/html/deutsch-vorbereitung/horen/1.34/1.34_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.34 batch-extract
input/html/deutsch-vorbereitung/horen/1.34/1.34_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.34 batch-extract
input/html/deutsch-vorbereitung/horen/1.35/1.35_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.35 batch-extract
input/html/deutsch-vorbereitung/horen/1.35/1.35_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.35 batch-extract
input/html/deutsch-vorbereitung/horen/1.36/1.36_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.36 batch-extract
input/html/deutsch-vorbereitung/horen/1.36/1.36_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.36 batch-extract
input/html/deutsch-vorbereitung/horen/1.37/1.37_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.37 batch-extract
input/html/deutsch-vorbereitung/horen/1.37/1.37_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.37 batch-extract
input/html/deutsch-vorbereitung/horen/1.38/1.38_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.38 batch-extract
input/html/deutsch-vorbereitung/horen/1.38/1.38_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.38 batch-extract
input/html/deutsch-vorbereitung/horen/1.39/1.39_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.39 batch-extract
input/html/deutsch-vorbereitung/horen/1.39/1.39_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.39 batch-extract
input/html/deutsch-vorbereitung/horen/1.40/1.40_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.40 batch-extract
input/html/deutsch-vorbereitung/horen/1.40/1.40_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.40 batch-extract
input/html/deutsch-vorbereitung/horen/1.41/1.41_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.41 batch-extract
input/html/deutsch-vorbereitung/horen/1.41/1.41_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.41 batch-extract
input/html/deutsch-vorbereitung/horen/1.42/1.42_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.42 batch-extract
input/html/deutsch-vorbereitung/horen/1.42/1.42_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.42 batch-extract
input/html/deutsch-vorbereitung/horen/1.43/1.43_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.43 batch-extract
input/html/deutsch-vorbereitung/horen/1.43/1.43_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.43 batch-extract
input/html/deutsch-vorbereitung/horen/1.44/1.44_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.44 batch-extract
input/html/deutsch-vorbereitung/horen/1.44/1.44_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.44 batch-extract
input/html/deutsch-vorbereitung/horen/1.45/1.45_transcript.md,2026-05-22 16:55:19,vocab-extractor,2,vocab_master.csv,ok,horen/1.45 batch-extract
input/html/deutsch-vorbereitung/horen/1.45/1.45_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.45 batch-extract
input/html/deutsch-vorbereitung/horen/1.46/1.46_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.46 batch-extract
input/html/deutsch-vorbereitung/horen/1.46/1.46_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.46 batch-extract
input/html/deutsch-vorbereitung/horen/1.47/1.47_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.47 batch-extract
input/html/deutsch-vorbereitung/horen/1.47/1.47_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.47 batch-extract
input/html/deutsch-vorbereitung/horen/1.48/1.48_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.48 batch-extract
input/html/deutsch-vorbereitung/horen/1.48/1.48_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.48 batch-extract
input/html/deutsch-vorbereitung/horen/1.49/1.49_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.49 batch-extract
input/html/deutsch-vorbereitung/horen/1.49/1.49_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.49 batch-extract
input/html/deutsch-vorbereitung/horen/1.50/1.50_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.50 batch-extract
input/html/deutsch-vorbereitung/horen/1.50/1.50_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.50 batch-extract
input/html/deutsch-vorbereitung/horen/1.51/1.51_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.51 batch-extract
input/html/deutsch-vorbereitung/horen/1.51/1.51_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.51 batch-extract
input/html/deutsch-vorbereitung/horen/1.52/1.52_transcript.md,2026-05-22 16:55:19,vocab-extractor,6,vocab_master.csv,ok,horen/1.52 batch-extract
input/html/deutsch-vorbereitung/horen/1.52/1.52_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.52 batch-extract
input/html/deutsch-vorbereitung/horen/1.53/1.53_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.53 batch-extract
input/html/deutsch-vorbereitung/horen/1.53/1.53_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.53 batch-extract
input/html/deutsch-vorbereitung/horen/1.54/1.54_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.54 batch-extract
input/html/deutsch-vorbereitung/horen/1.54/1.54_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.54 batch-extract
input/html/deutsch-vorbereitung/horen/1.55/1.55_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.55 batch-extract
input/html/deutsch-vorbereitung/horen/1.55/1.55_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.55 batch-extract
input/html/deutsch-vorbereitung/horen/1.56/1.56_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.56 batch-extract
input/html/deutsch-vorbereitung/horen/1.56/1.56_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.56 batch-extract
input/html/deutsch-vorbereitung/horen/1.57/1.57_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.57 batch-extract
input/html/deutsch-vorbereitung/horen/1.57/1.57_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.57 batch-extract
input/html/deutsch-vorbereitung/horen/1.58/1.58_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.58 batch-extract
input/html/deutsch-vorbereitung/horen/1.58/1.58_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.58 batch-extract
input/html/deutsch-vorbereitung/horen/1.59/1.59_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.59 batch-extract
input/html/deutsch-vorbereitung/horen/1.59/1.59_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.59 batch-extract
input/html/deutsch-vorbereitung/horen/1.60/1.60_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.60 batch-extract
input/html/deutsch-vorbereitung/horen/1.60/1.60_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.60 batch-extract
input/html/deutsch-vorbereitung/horen/1.61/1.61_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.61 batch-extract
input/html/deutsch-vorbereitung/horen/1.61/1.61_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.61 batch-extract
input/html/deutsch-vorbereitung/horen/1.62/1.62_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.62 batch-extract
input/html/deutsch-vorbereitung/horen/1.62/1.62_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.62 batch-extract
input/html/deutsch-vorbereitung/horen/1.63/1.63_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.63 batch-extract
input/html/deutsch-vorbereitung/horen/1.63/1.63_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.63 batch-extract
input/html/deutsch-vorbereitung/horen/1.64/1.64_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.64 batch-extract
input/html/deutsch-vorbereitung/horen/1.64/1.64_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.64 batch-extract
input/html/deutsch-vorbereitung/horen/1.65/1.65_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.65 batch-extract
input/html/deutsch-vorbereitung/horen/1.65/1.65_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.65 batch-extract
input/html/deutsch-vorbereitung/horen/1.66/1.66_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.66 batch-extract
input/html/deutsch-vorbereitung/horen/1.66/1.66_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.66 batch-extract
input/html/deutsch-vorbereitung/horen/1.67/1.67_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.67 batch-extract
input/html/deutsch-vorbereitung/horen/1.67/1.67_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.67 batch-extract
input/html/deutsch-vorbereitung/horen/1.68/1.68_transcript.md,2026-05-22 16:55:19,vocab-extractor,3,vocab_master.csv,ok,horen/1.68 batch-extract
input/html/deutsch-vorbereitung/horen/1.68/1.68_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.68 batch-extract
input/html/deutsch-vorbereitung/horen/1.69/1.69_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.69 batch-extract
input/html/deutsch-vorbereitung/horen/1.69/1.69_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.69 batch-extract
input/html/deutsch-vorbereitung/horen/1.70/1.70_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.70 batch-extract
input/html/deutsch-vorbereitung/horen/1.70/1.70_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.70 batch-extract
input/html/deutsch-vorbereitung/horen/1.71/1.71_transcript.md,2026-05-22 16:55:19,vocab-extractor,5,vocab_master.csv,ok,horen/1.71 batch-extract
input/html/deutsch-vorbereitung/horen/1.71/1.71_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.71 batch-extract
input/html/deutsch-vorbereitung/horen/1.72/1.72_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.72 batch-extract
input/html/deutsch-vorbereitung/horen/1.72/1.72_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.72 batch-extract
input/html/deutsch-vorbereitung/horen/1.73/1.73_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.73 batch-extract
input/html/deutsch-vorbereitung/horen/1.73/1.73_questions.md,2026-05-22 16:55:19,vocab-extractor,0,vocab_master.csv,ok,horen/1.73 batch-extract
input/html/deutsch-vorbereitung/horen/1.74/1.74_transcript.md,2026-05-22 16:55:19,vocab-extractor,4,vocab_master.csv,ok,horen/1.74 batch-extract
