lingq_id,term,fragment,hint,status,extended_status,tags,importance,last_studied_correct,first_seen,last_synced,notes
,abheben,"an allen Geldautomaten Bargeld abheben","rút tiền mặt",1,0,wortart:Verb;level:B1;thema:Konsum;voc:VOC-20260522-1619,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1619]\n\n## Grammar / Notes\ntrennbar; Bargeld abheben\n\n## Collocations\n- Bargeld am Geldautomaten abheben (rút tiền mặt tại cây ATM)\n"
,abholen,"Herr Becker kann seinen neuen Führerschein heute bis 16 Uhr abholen.","đến lấy, đến đón",1,0,wortart:Verb;level:B1;thema:Behörde;voc:VOC-20260522-116,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-116]\n\n## Grammar / Notes\ntrennbar\n"
,Abholung,"Eine Abholung wäre möglich.","việc đến lấy",1,0,wortart:Substantiv;level:B1;thema:Behörde;voc:VOC-20260522-583,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-583]\n\n## Collocations\n- Selbstabholung möglich (có thể tự đến lấy)\n"
,Abkühlung,"Eine deutliche Abkühlung wird erwartet.","sự lạnh đi, làm mát",1,0,wortart:Substantiv;level:B1;thema:Wetter;voc:VOC-20260522-519,0,,2026-05-31,,
,Ablauf,"Nach Ablauf dieser Anmeldefrist ist eine Anmeldung erst wieder Mitte Februar möglich.","sự kết thúc, hết hạn",1,0,wortart:Substantiv;level:B1;thema:Freizeit;voc:VOC-20260522-052,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-052]\n\n## Grammar / Notes\nPlural mit Umlaut\n\n## Collocations\n- nach Ablauf + Gen (sau khi (thời hạn) kết thúc)\n"
,ablaufen,"Die Kündigungsfrist ist abgelaufen.","hết hạn",1,0,wortart:Verb;level:B1;thema:Behörde;voc:VOC-20260522-1095,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1095]\n\n## Grammar / Notes\ntrennbar, đi với sein\n"
,ablenken,"Falsche Uhrzeiten lenken den Hörer ab.","đánh lạc hướng, làm sao nhãng",1,0,wortart:Verb;level:B1;thema:Allgemein;voc:VOC-20260522-678,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-678]\n\n## Grammar / Notes\ntách được\n"
,Ablenkungen,,"sự xao lãng (số nhiều)",1,0,wortart:Substantiv;level:B1;thema:web-queue;voc:WEB-20260530-026,0,,2026-05-31,,
,abnehmen,"Eine Vertretung wird die Prüfung abnehmen.","nhận/tổ chức (kỳ thi)",1,0,wortart:Verb;level:B1;thema:Bildung;voc:VOC-20260522-367,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-367]\n\n## Grammar / Notes\ntrennbar\n"
,Abo-Bereich,"Im Abo-Bereich stellen Sie sich Ihr persönliches Informationspaket zusammen","khu vực gói thuê bao",1,0,wortart:Substantiv;level:B1;thema:Konsum;voc:VOC-20260522-1695,0,,2026-05-31,,
,Abonnement,"Sie hat ein Abonnement bestellt.","thuê bao, đăng ký dài hạn",1,0,wortart:Substantiv;level:B1;thema:Einkauf;voc:VOC-20260522-549,0,,2026-05-31,,
,absagen,"Die Vorstellung wurde abgesagt.","hủy bỏ",1,0,wortart:Verb;level:B1;thema:Allgemein;voc:VOC-20260522-164,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-164]\n\n## Grammar / Notes\ntrennbar\n"
,Absatz,"Was kostet die Reparatur eines Absatzes diese Woche?","gót giày",1,0,wortart:Substantiv;level:B1;thema:Einkauf;voc:VOC-20260522-1173,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1173]\n\n## Grammar / Notes\nPlural mit Umlaut\n"
,abschalten,"Es ist unmöglich, sie abzuschalten.","tắt (máy)",1,0,wortart:Verb;level:B1;thema:Wohnen;voc:VOC-20260522-103,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-103]\n\n## Grammar / Notes\ntrennbar\n"
,Abschlag,"Sie können selbst bestimmen, an welchem Tag im Monat der Abschlag abgebucht wird","khoản thanh toán định kỳ (trả góp)",1,0,wortart:Substantiv;level:B1;thema:Konsum;voc:VOC-20260522-1718,0,,2026-05-31,,
,abschließen,"Sie hat ein Probeabo abgeschlossen.","ký kết, hoàn tất",1,0,wortart:Verb;level:B1;thema:Behörde;voc:VOC-20260522-551,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-551]\n\n## Grammar / Notes\ntrennbar\n"
,Abschnitt,"Die Wagen mit den Nummern 22 bis 27 finden Sie in den Abschnitten A bis C.","khu vực, đoạn",1,0,wortart:Substantiv;level:B1;thema:Verkehr;voc:VOC-20260522-034,0,,2026-05-31,,
,Abschnitten,"Die Wagen mit den Nummern 22 bis 27 finden Sie in den Abschnitten A bis C.","Abschnitt (Dativ Pl.) = khu vực / đoạn",1,0,wortart:Substantiv;level:B1;thema:Verkehr;voc:VOC-20260522-034-DAT.PL,0,,2026-05-31,,
,absetzen,"Bei ungewöhnlichen Reaktionen sollten Sie das Präparat absetzen","ngưng (thuốc)",1,0,wortart:Verb;level:B1;thema:Gesundheit;voc:VOC-20260522-1703,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1703]\n\n## Grammar / Notes\ntrennbar\n"
,abstimmen,"Die Methoden sollten auf die Kinder abgestimmt sein.","điều chỉnh cho phù hợp; biểu quyết",1,0,wortart:Verb;level:B1;thema:general;voc:VOC-20260518-076,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260518-076]\n\n## Grammar / Notes\nTrennbar: ab|stimmen; auf + Akk. abstimmen | Quelle: Teil4 4.18\n\n## Collocations\n- auf + Akk. abgestimmt sein (được điều chỉnh phù hợp với...)\n"
,Abteilung,"Unsere Obst- und Gemüseabteilung ist heute aufgrund von Umbauarbeiten nur eingeschränkt zugänglich.","khu, gian hàng",1,0,wortart:Substantiv;level:B1;thema:Einkauf;voc:VOC-20260522-082,0,,2026-05-31,,
,abwarten,"Den Zugang zum Fitnessraum abwarten.","chờ đợi",1,0,wortart:Verb;level:B1;thema:Alltag;voc:VOC-20260522-415,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-415]\n\n## Grammar / Notes\ntrennbar\n"
,abwechslungsreich,"Meine Arbeit ist abwechslungsreich.","đa dạng, phong phú",1,0,wortart:Adjektiv;level:B1;thema:Arbeit;voc:VOC-20260522-1247,0,,2026-05-31,,
,abweichend,"Der Zug fährt abweichend von der normalen Route.","khác biệt, lệch",1,0,wortart:Adjektiv;level:B1;thema:Verkehr;voc:VOC-20260522-1041,0,,2026-05-31,,
,achtsam,"Autofahrer sollen achtsam sein.","thận trọng, chú ý",1,0,wortart:Adjektiv;level:B1;thema:Verkehr;voc:VOC-20260522-788,0,,2026-05-31,,
,Aktivierung,"Für die Aktivierung benötigen wir noch unsere Zahlungsdaten.","việc kích hoạt",1,0,wortart:Substantiv;level:B1;thema:Konsum;voc:VOC-20260522-1391,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1391]\n\n## Grammar / Notes\ndanh từ hóa từ aktivieren\n"
,aktuell,"Diese Daten sind nicht mehr aktuell.","hiện tại, mới nhất",1,0,wortart:Adjektiv;level:B1;thema:Allgemein;voc:VOC-20260522-437,0,,2026-05-31,,
,akzeptieren,"Wir akzeptieren keine Kartenzahlung.","chấp nhận",1,0,wortart:Verb;level:B1;thema:Einkauf;voc:VOC-20260522-966,0,,2026-05-31,,
,alarmieren,"Die Feuerwehr wird unter 122 alarmiert.","báo động, gọi cứu trợ",1,0,wortart:Verb;level:B1;thema:Gesundheit;voc:VOC-20260522-619,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-619]\n\n## Grammar / Notes\nkhông tách được\n"
,Albtraum,,"cơn ác mộng",1,0,wortart:Substantiv;level:B1;thema:web-queue;voc:WEB-20260530-024,0,,2026-05-31,,
,Allergie,"bei Allergie gegen Salicylate","dị ứng",1,0,wortart:Substantiv;level:B1;thema:Gesundheit;voc:VOC-20260522-1707,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1707]\n\n## Grammar / Notes\nAllergie gegen + Akk\n"
,Alltag,"Lesen hilft mir, den Alltag zu vergessen.","cuộc sống thường ngày",1,0,wortart:Substantiv;level:B1;thema:Allgemein;voc:VOC-20260522-1254,0,,2026-05-31,,
,alternativ,"Alternative Routen werden empfohlen.","thay thế, lựa chọn khác",1,0,wortart:Adjektiv;level:B1;thema:Verkehr;voc:VOC-20260522-801,0,,2026-05-31,,
,Alternative,"Eine Alternative im Park wird angeboten.","lựa chọn thay thế",1,0,wortart:Substantiv;level:B1;thema:Alltag;voc:VOC-20260522-414,0,,2026-05-31,,
,Altersvorsorge,"InvestMax bietet mehr als nur Aktienhandel, wie Altersvorsorge und Immobilieninvestitionen.","bảo hiểm/dự phòng tuổi già",1,0,wortart:Substantiv;level:B1;thema:Allgemein;voc:VOC-20260522-141,0,,2026-05-31,,
,Anbau,"Ich achte auf biologischen Anbau.","việc canh tác/trồng trọt",1,0,wortart:Substantiv;level:B1;thema:Einkauf;voc:VOC-20260522-1264,0,,2026-05-31,,
,anbauen,"Diese Tomaten werden biologisch angebaut.","trồng trọt",1,0,wortart:Verb;level:B1;thema:Einkauf;voc:VOC-20260522-820,0,,2026-05-31,,
,anbieten,"Der Markt bietet sonntags frische Produkte an.","cung cấp, mời chào",1,0,wortart:Verb;level:B1;thema:Einkauf;voc:VOC-20260518-120,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260518-120]\n\n## Grammar / Notes\nTrennbar: an|bieten (unregelmäßig: bot/geboten) | Quelle: Teil4 4.22\n"
,andocken,"Zwischen 0 Uhr und 5 Uhr müssen alle Räder an eine Station angedockt sein","gắn/cắm vào trạm",1,0,wortart:Verb;level:B1;thema:Verkehr;voc:VOC-20260522-1665,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1665]\n\n## Grammar / Notes\ntrennbar\n"
,Anerkennung,"Die Anerkennung alternativer Heilmethoden wächst.","sự công nhận",1,0,wortart:Substantiv;level:B1;thema:Gesellschaft;voc:VOC-20260518-064,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260518-064]\n\n## Grammar / Notes\nVom Verb 'anerkennen' | Quelle: Teil4 4.17\n"
,anfahren,"Die Linie 12 fährt heute den Marktplatz nicht an.","ghé qua (trạm), đi tới",1,0,wortart:Verb;level:B1;thema:Verkehr;voc:VOC-20260522-686,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-686]\n\n## Grammar / Notes\ntách được\n"
,Anfahrt,"Die Anfahrt ist kostenlos.","việc đến/đi đến",1,0,wortart:Substantiv;level:B1;thema:Wohnen;voc:VOC-20260522-1141,0,,2026-05-31,,
,Anfänger,"Auch Anfänger sind herzlich willkommen.","người mới bắt đầu",1,0,wortart:Substantiv;level:B1;thema:Bildung;voc:VOC-20260522-1572,0,,2026-05-31,,
,Angabe,"Allerdings fehlen noch einige notwendige Angaben im Formular.","thông tin khai báo (trong biểu mẫu)",1,0,wortart:Substantiv;level:B1;thema:Behörde;voc:VOC-20260522-1760,0,,2026-05-31,,
,angeben,"Es wird angegeben, dass die S4 heute von Gleis 7 abfährt.","nêu/cho biết",1,0,wortart:Verb;level:B1;thema:Allgemein;voc:VOC-20260522-313,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-313]\n\n## Grammar / Notes\ntrennbar\n"
,Angebot,"Es geht um ein spezielles Angebot im Café-Restaurant.","ưu đãi, hàng chào bán",1,0,wortart:Substantiv;level:B1;thema:Einkauf;voc:VOC-20260522-127,0,,2026-05-31,,
,angegeben,"Sie soll Frau Glück unter der angegebenen Telefonnummer anrufen.","đã được nêu/cho sẵn",1,0,wortart:Adjektiv;level:B1;thema:Alltag;voc:VOC-20260522-346,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-346]\n\n## Grammar / Notes\nPartizip II của angeben\n"
,angemessen,"Sie haben keinen angemessenen Zugang zur Versorgung.","thoả đáng, phù hợp",1,0,wortart:Adjektiv;level:B1;thema:Gesundheit;voc:VOC-20260518-059,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260518-059]\n\n## Grammar / Notes\nĐồng nghĩa: passend, geeignet; trái nghĩa: unangemessen | Quelle: Teil4 4.17\n"
,angenehm,"Es ist angenehm in der Nähe der Fenster.","dễ chịu",1,0,wortart:Adjektiv;level:B1;thema:Wohnen;voc:VOC-20260522-978,0,,2026-05-31,,
,angesagt,"Sie interessieren sich für Mode und möchten sehen, was gerade angesagt ist.","đang thịnh hành, đang là mốt",1,0,wortart:Adjektiv;level:B1;thema:Freizeit;voc:VOC-20260522-1451,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1451]\n\n## Grammar / Notes\numgangssprachlich\n"
,angezogen,"Alex ist sehr warm angezogen.","đã mặc quần áo",1,0,wortart:Adjektiv;level:B1;thema:Alltag;voc:VOC-20260522-1108,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1108]\n\n## Grammar / Notes\nphân từ II của anziehen\n"
,ankommen,"Der Zug wird auf Gleis 11 ankommen.","đến nơi",1,0,wortart:Verb;level:B1;thema:Verkehr;voc:VOC-20260522-473,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-473]\n\n## Grammar / Notes\ntrennbar; sein\n"
,ankündigen,"In der Ansage wird angekündigt, dass eine Sondersendung läuft.","thông báo, công bố",1,0,wortart:Verb;level:B1;thema:Allgemein;voc:VOC-20260522-494,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-494]\n\n## Grammar / Notes\ntrennbar\n"
,Ankündigung,"Eine dringende Ankündigung wird gemacht.","thông báo / thông cáo",1,0,wortart:Substantiv;level:B1;thema:Allgemein;voc:VOC-20260522-914,0,,2026-05-31,,
,Anlass,"DriveEasy bietet Fahrzeuge für verschiedene Anlässe.","dịp, lý do",1,0,wortart:Substantiv;level:B1;thema:Allgemein;voc:VOC-20260522-169,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-169]\n\n## Grammar / Notes\nPlural mit Umlaut\n\n## Collocations\n- Ich bitte Sie, dies entsprechend zu veranlassen (Tôi đề nghị quý vị xử lý việc này tương ứng)\n"
,Anliegen,"Für technische Anliegen die Taste 3 drücken.","việc cần làm, yêu cầu",1,0,wortart:Substantiv;level:B1;thema:Allgemein;voc:VOC-20260522-460,0,,2026-05-31,,
,Anmeldefrist,"Nach Ablauf dieser Anmeldefrist ist eine Anmeldung erst wieder Mitte Februar möglich.","thời hạn đăng ký",1,0,wortart:Substantiv;level:B1;thema:Freizeit;voc:VOC-20260522-048,0,,2026-05-31,,
,Anmeldung,"Vielen Dank für Ihre Anmeldung.","việc đăng ký, đơn đăng ký",1,0,wortart:Substantiv;level:B1;thema:Behörde;voc:VOC-20260522-1390,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1390]\n\n## Grammar / Notes\nAnmeldung für + Akk.\n\n## Collocations\n- Vielen Dank für Ihre Anmeldung (Cảm ơn quý vị đã đăng ký)\n"
,annehmen,"Das Fahrradgeschäft nimmt keine neuen Reparaturen an.","tiếp nhận/chấp nhận",1,0,wortart:Verb;level:B1;thema:Arbeit;voc:VOC-20260522-379,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-379]\n\n## Grammar / Notes\ntrennbar\n"
,annullieren,"Der Zug wurde aufgrund von Gleisbauarbeiten annulliert.","hủy bỏ",1,0,wortart:Verb;level:B1;thema:Verkehr;voc:VOC-20260522-383,0,,2026-05-31,,
,anpassen,"Ich muss mich an das neue Klima anpassen.","thích nghi (reflexiv)",1,0,wortart:Verb;level:B1;thema:Arbeit;voc:VOC-20260518-010,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260518-010]\n\n## Grammar / Notes\nCấu trúc: sich an + Akk. anpassen\n\n## Collocations\n- sich an + Akk. anpassen (thích nghi với...)\n"
,Anregung,"Für Feedback und Anregungen zur Qualität unseres Services steht Ihnen die Nummer zur Verfügung.","gợi ý, đề xuất",1,0,wortart:Substantiv;level:B1;thema:Allgemein;voc:VOC-20260522-078,0,,2026-05-31,,
,Anruf,"Das ist nicht der Grund seines Anrufs.","cuộc gọi",1,0,wortart:Substantiv;level:B1;thema:Kommunikation;voc:VOC-20260522-1155,0,,2026-05-31,,
,Anrufbeantworter,"Man soll eine Nachricht auf den Anrufbeantworter sprechen.","máy trả lời tự động",1,0,wortart:Substantiv;level:B1;thema:Behörde;voc:VOC-20260522-134,0,,2026-05-31,,
,anrufen,"Klara Schulz ruft von der Praxis Dr. Krantz an.","gọi điện",1,0,wortart:Verb;level:B1;thema:Alltag;voc:VOC-20260522-262,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-262]\n\n## Grammar / Notes\ntrennbar\n"
,Anrufer,"Was sollen die Anrufer tun?","người gọi",1,0,wortart:Substantiv;level:B1;thema:Alltag;voc:VOC-20260522-458,0,,2026-05-31,,
,Ansage,"In der Ansage wird erwähnt, dass der Zug Verspätung hat.","thông báo",1,0,wortart:Substantiv;level:B1;thema:Verkehr;voc:VOC-20260522-472,0,,2026-05-31,,
,Ansatz,"Wir brauchen alternative Ansätze in der Bildung.","cách tiếp cận",1,0,wortart:Substantiv;level:B1;thema:general;voc:VOC-20260518-081,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260518-081]\n\n## Grammar / Notes\nVom Verb 'ansetzen' | Quelle: Teil4 4.18\n"
,anschauen,"Den Film zu Hause anschauen.",xem,1,0,wortart:Verb;level:B1;thema:Freizeit;voc:VOC-20260522-450,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-450]\n\n## Grammar / Notes\ntrennbar\n"
,anschließen,"Sie können den Gasherd heute nicht anschließen.","kết nối/lắp đặt",1,0,wortart:Verb;level:B1;thema:Wohnen;voc:VOC-20260522-276,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-276]\n\n## Grammar / Notes\ntrennbar\n"
,Anschluss,"Sie haben Anschluss nach Kamm mit dem Intercity um neun Uhr achtundfünfzig ab Gleis drei.","chuyến tiếp / kết nối",1,0,wortart:Substantiv;level:B1;thema:Verkehr;voc:VOC-20260522-805,0,,2026-05-31,,
,Anschrift,"Wir liefern an die von Ihnen angegebene Anschrift","địa chỉ",1,0,wortart:Substantiv;level:B1;thema:Konsum;voc:VOC-20260522-1687,0,,2026-05-31,,
,ansprechen,"Politische Ereignisse werden nicht angesprochen.","đề cập, nói đến",1,0,wortart:Verb;level:B1;thema:Allgemein;voc:VOC-20260522-471,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-471]\n\n## Grammar / Notes\ntrennbar\n"
,Ansprechpartner,"Fahrerinnen und Fahrer sind wichtige Ansprechpartner für Fahrgäste.","người liên hệ, đầu mối",1,0,wortart:Substantiv;level:B1;thema:Arbeit;voc:VOC-20260522-1360,0,,2026-05-31,,
,anstrengend,,"vất vả; mệt nhọc",1,0,wortart:Adjektiv;level:B1;thema:web-queue;voc:WEB-20260531-003,0,,2026-05-31,,
,Antrag,"Betreff: Antrag auf Aufnahme meines Kindes in Ihre Kindertagesstätte","đơn đề nghị, hồ sơ xin",1,0,wortart:Substantiv;level:B1;thema:Behörde;voc:VOC-20260522-1403,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-1403]\n\n## Grammar / Notes\nAntrag auf + Akk.\n\n## Collocations\n- Hiermit beantrage ich ... (Bằng văn bản này, tôi xin/đề nghị ...)\n- Antrag auf Aufnahme (Đơn xin nhập (học/nhận))\n- Bitte bestätigen Sie den Eingang dieses Antrags (Vui lòng xác nhận việc nhận được đơn này)\n- Wir bestätigen den Eingang Ihres Antrags auf + Akk (Chúng tôi xác nhận đã nhận được đơn xin ... của quý vị)\n"
,Anwaltskanzlei,"Frau Schmidt von der Anwaltskanzlei bittet um einen Rückruf.","văn phòng luật sư",1,0,wortart:Substantiv;level:B1;thema:Behörde;voc:VOC-20260522-159,0,,2026-05-31,,
,Anweisung,"Lesen Sie die Anweisungen vor der Einnahme.","chỉ dẫn / hướng dẫn",1,0,wortart:Substantiv;level:B1;thema:Gesundheit;voc:VOC-20260522-810,0,,2026-05-31,,"[AI-sync 2026-05-31 | VOC-20260522-810]\n\n## Collocations\n- nach ärztlicher Anweisung (theo chỉ định của bác sĩ)\n"
,Anwohner,"Liebe Anwohnerinnen und Anwohner","cư dân sống xung quanh",1,0,wortart:Substantiv;level:B1;thema:Wohnen;voc:VOC-20260522-1629,0,,2026-05-31,,
