# schema_version: 2026-05-18_v1
# columns: id, chunk_de, chunk_vn, type, topic, level, source, first_seen, last_practiced, frequency, note
# id format: CH-<YYYYMMDD>-<NNN>
# type enum: redemittel | collocation | idiom | phrasal | formula
# topic enum: Arbeit | Wohnen | Gesundheit | Behörde | Familie | Freizeit | Bildung | Einkauf | Verkehr | Wetter | general
# level enum: A1 | A2 | B1 | B2 | C1 | C2
# Append-only. Update only frequency + last_practiced.
id,chunk_de,chunk_vn,type,topic,level,source,first_seen,last_practiced,frequency,note
CH-20260518-016,"Es ist + Adj + , dass + Nebensatz","Điều ... là rằng ...",formula,general,B1,SRC-001,2026-05-18,2026-05-18,1,"Adj thường gặp: wichtig, entscheidend, klar, möglich, schwierig"
CH-20260518-017,Wissen/Fähigkeiten vermitteln,truyền đạt kiến thức/kỹ năng,collocation,Bildung,B1,SRC-001,2026-05-18,2026-05-18,1,Collocation học thuật B1
CH-20260518-018,"um ... zu + Infinitiv",để...,formula,general,B1,SRC-001,2026-05-18,2026-05-18,1,"Finalsatz; subject 2 vế phải trùng; nếu khác → dùng 'damit + Nebensatz'"
CH-20260518-019,auf + Akk. verzichten,"từ bỏ/kiêng/không dùng...",phrasal,Ernährung,B1,SRC-002,2026-05-18,2026-05-18,1,"Akk. cố định sau 'auf'; vd: auf tierische Produkte/Zucker/Alkohol verzichten"
CH-20260518-020,untrennbar (miteinander) verbunden sein,gắn bó không tách rời,collocation,general,B1,SRC-002,2026-05-18,2026-05-18,1,"Zustandspassiv; 'miteinander' optional khi context rõ"
CH-20260518-021,mehr Schaden als Nutzen bringen,gây hại nhiều hơn lợi,collocation,Gesundheit,B1,SRC-002,2026-05-18,2026-05-18,1,Cấu trúc so sánh 'mehr X als Y' B1
CH-20260518-022,Bewusstsein für + Akk. schaffen,tạo nhận thức về...,collocation,Gesellschaft,B1,SRC-002,2026-05-18,2026-05-18,1,"Variant: 'Bewusstsein wecken/schärfen für + Akk.'"
CH-20260518-023,"jdm. helfen, ... zu + Infinitiv","giúp ai đó làm gì",formula,general,B1,SRC-002,2026-05-18,2026-05-18,1,"helfen + Dat. + Infinitivsatz; 'dabei' optional để nhấn mạnh"
CH-20260518-024,Zugang zu + Dat. haben,có sự tiếp cận đến...,collocation,Gesundheit,B1,SRC-003,2026-05-18,2026-05-18,1,Cấu trúc B1 phổ biến; vd: Zugang zur Versorgung/zum Internet/zum Job
CH-20260518-025,Bedeutung von + Dat. betonen,nhấn mạnh tầm quan trọng của...,collocation,general,B1,SRC-003,2026-05-18,2026-05-18,1,Synonym: die Wichtigkeit hervorheben
CH-20260518-026,ein grundlegendes Recht (auf + Akk.) sein,là một quyền cơ bản (về...),formula,Gesellschaft,B1,SRC-003,2026-05-18,2026-05-18,1,DTZ topic — Sozialstaat/Behörde context
CH-20260518-027,Verantwortung für + Akk. übernehmen,đảm nhận trách nhiệm về...,collocation,Arbeit,B1,SRC-003,2026-05-18,2026-05-18,1,Variant: Verantwortung tragen/haben
CH-20260518-028,auf + Akk. abgestimmt sein,được điều chỉnh phù hợp với...,formula,general,B1,SRC-003,2026-05-18,2026-05-18,1,Zustandspassiv của 'abstimmen'
CH-20260518-029,"keine Zeit haben, um + zu + Infinitiv",không có thời gian để làm gì,formula,general,B1,SRC-003,2026-05-18,2026-05-18,1,Negation của Finalsatz; B1 phổ biến
CH-20260518-030,über + Akk. informieren / aufklären,thông tin / giải thích về...,collocation,general,B1,SRC-003,2026-05-18,2026-05-18,1,2 verb gần nghĩa: informieren (neutral) / aufklären (đào sâu giải thích)
CH-20260518-031,Energie sparen,tiết kiệm năng lượng,collocation,Umwelt,B1,SRC-003,2026-05-18,2026-05-18,1,Variant: Strom/Wasser/Ressourcen sparen
CH-20260518-032,jdn. zu + Inf. ermutigen,khích lệ ai làm gì,phrasal,general,B1,SRC-003,2026-05-18,2026-05-18,1,Akk. + zu-Infinitiv
CH-20260518-033,Stress abbauen,giải toả căng thẳng,collocation,Gesundheit,B1,SRC-003,2026-05-18,2026-05-18,1,gegenteil: Stress aufbauen/verursachen
CH-20260518-034,Verständnis für + Akk. fördern,thúc đẩy sự hiểu biết về...,collocation,Bildung,B1,SRC-003,2026-05-18,2026-05-18,1,Variant: Verständnis wecken/zeigen für
CH-20260518-035,verkaufsoffener Sonntag,ngày chủ nhật cửa hàng được phép mở (luật Đức),collocation,Einkauf,B1,SRC-003,2026-05-18,2026-05-18,1,Pl: verkaufsoffene Sonntage; thường vài lần/năm theo Land
CH-20260522-001,auf dem Land,ở nông thôn,redemittel,Wohnen,1,B1-DTZ-H-4.1,2026-05-22,,1,Gegensatz zu 'in der Stadt'
CH-20260522-002,in ländlicher Umgebung,ở vùng nông thôn,collocation,Wohnen,1,B1-DTZ-H-4.1,2026-05-22,,1,
CH-20260522-003,im Mittelpunkt stehen,là trọng tâm,formula,Allgemein,1,B1-DTZ-H-4.1,2026-05-22,,1,Beschreibung von Themen
CH-20260522-004,etwas als störend empfinden,cảm thấy ... gây phiền,collocation,Allgemein,1,B1-DTZ-H-4.1,2026-05-22,,1,empfinden + Akk + ALS + Adj
CH-20260522-005,im Vergleich zu,so với,redemittel,Allgemein,1,B1-DTZ-H-4.1,2026-05-22,,1,Vergleich ausdrücken
CH-20260522-006,in der Nähe liegen,nằm gần,collocation,Wohnen,1,B1-DTZ-H-4.1,2026-05-22,,1,
CH-20260522-007,schnell erreichbar sein,dễ tới nhanh,collocation,Allgemein,1,B1-DTZ-H-4.1,2026-05-22,,1,
CH-20260522-008,praktische Vorteile bieten,mang lại lợi ích thực tế,collocation,Allgemein,1,B1-DTZ-H-4.1,2026-05-22,,1,
CH-20260522-009,im Vordergrund stehen,là điểm chính,formula,Allgemein,1,B1-DTZ-H-4.1,2026-05-22,,1,Synonym mit 'im Mittelpunkt stehen'
CH-20260522-010,etwas spontan erledigen,làm việc gì đó tự phát,collocation,Alltag,1,B1-DTZ-H-4.1,2026-05-22,,1,
CH-20260522-011,mit Blick auf + Akk,với tầm nhìn ra,idiom,Einkauf,B1,lesen/1.1,2026-05-22,2026-05-22,1,mit Blick auf + Akk.
CH-20260522-012,reduzierte Waren,hàng đã giảm giá,collocation,Einkauf,B1,lesen/1.1,2026-05-22,2026-05-22,1,
CH-20260522-013,Zeit effizient planen,lập kế hoạch thời gian hiệu quả,collocation,Arbeit,B1,lesen/1.2,2026-05-22,2026-05-22,1,
CH-20260522-014,Einführung in + Akk,giới thiệu về (lĩnh vực gì),idiom,Bildung,B1,lesen/1.2,2026-05-22,2026-05-22,1,Einführung in + Akk.
CH-20260522-015,Werkzeuge für kleine Reparaturen,dụng cụ cho việc sửa chữa nhỏ,collocation,Wohnen,B1,lesen/1.3,2026-05-22,2026-05-22,1,für + Akk.
CH-20260522-016,im Überblick,"tổng quan, nhìn tổng thể",idiom,general,B1,lesen/1.4,2026-05-22,2026-05-22,1,
CH-20260522-017,sich interessieren für + Akk,quan tâm đến,collocation,Freizeit,B1,lesen/1.4,2026-05-22,2026-05-22,1,"reflexiv, immer mit für + Akk."
CH-20260522-018,für alle Altersgruppen,dành cho mọi lứa tuổi,idiom,Freizeit,B1,lesen/1.5,2026-05-22,2026-05-22,1,
CH-20260522-019,von ... bis heute,từ ... cho đến nay,idiom,general,B1,lesen/1.5,2026-05-22,2026-05-22,1,von + Dat. ... bis heute
CH-20260522-020,Lust haben + zu + Inf,có hứng thú làm gì,collocation,Freizeit,B1,lesen/1.5,2026-05-22,2026-05-22,1,Lust haben + zu + Inf.
CH-20260522-021,Sehr geehrter Herr [Name],Kính gửi ông [tên],redemittel,Behörde,B1,lesen/3.1,2026-05-22,2026-05-22,1,mở đầu thư formal
CH-20260522-022,vielen Dank für Ihre Nachricht zu + Dat,cảm ơn vì tin nhắn của bạn về...,redemittel,Behörde,B1,lesen/3.1,2026-05-22,2026-05-22,1,
CH-20260522-023,Mit freundlichen Grüßen,Trân trọng (kết thư formal),redemittel,Behörde,B1,lesen/3.1,2026-05-22,2026-05-22,1,kết thư chuẩn
CH-20260522-024,im Einsatz sein,đang được sử dụng/triển khai,idiom,Verkehr,B1,lesen/3.1,2026-05-22,2026-05-22,1,
CH-20260522-025,eine Infoveranstaltung durchführen,tổ chức một buổi thông tin,collocation,Behörde,B1,lesen/3.1,2026-05-22,2026-05-22,1,
CH-20260522-026,Sehr geehrte Fahrgäste,Kính thưa quý hành khách,redemittel,Verkehr,B1,lesen/3.2,2026-05-22,2026-05-22,1,thông báo công cộng
CH-20260522-027,zum 1. November,kể từ ngày 1 tháng 11,idiom,Behörde,B1,lesen/3.2,2026-05-22,2026-05-22,1,chỉ thời điểm bắt đầu hiệu lực
CH-20260522-028,die Taktung erhöhen,tăng tần suất chạy,collocation,Verkehr,B1,lesen/3.2,2026-05-22,2026-05-22,1,
CH-20260522-029,alle 30 Minuten verkehren,chạy mỗi 30 phút,collocation,Verkehr,B1,lesen/3.2,2026-05-22,2026-05-22,1,
CH-20260522-030,Weitere Informationen finden Sie an + Dat,Quý vị tìm thấy thông tin thêm tại...,redemittel,Behörde,B1,lesen/3.2,2026-05-22,2026-05-22,1,
CH-20260522-031,Sehr geehrte Frau [Name],Kính gửi bà [tên],redemittel,Behörde,B1,lesen/3.3,2026-05-22,2026-05-22,1,thư formal cá nhân
CH-20260522-032,sich herzlich bedanken,chân thành cảm ơn,idiom,Einkauf,B1,lesen/3.3,2026-05-22,2026-05-22,1,
CH-20260522-033,sich um seine Gesundheit kümmern,chăm sóc sức khỏe của mình,collocation,Gesundheit,B1,lesen/3.3,2026-05-22,2026-05-22,1,reflexiv um + Akk
CH-20260522-034,an einem Gewinnspiel teilnehmen,tham gia cuộc xổ số trúng thưởng,collocation,Einkauf,B1,lesen/3.3,2026-05-22,2026-05-22,1,teilnehmen an + Dat
CH-20260522-035,Wir freuen uns auf Ihre Entscheidung,Chúng tôi mong chờ quyết định của quý vị,redemittel,Behörde,B1,lesen/3.3,2026-05-22,2026-05-22,1,kết thư
CH-20260522-036,eine abgeschlossene Berufsausbildung haben,có một bằng đào tạo nghề đã hoàn thành,collocation,Arbeit,B1,lesen/3.4,2026-05-22,2026-05-22,1,
CH-20260522-037,schlechtere Chancen auf dem Arbeitsmarkt haben,có cơ hội kém hơn trên thị trường lao động,collocation,Arbeit,B1,lesen/3.4,2026-05-22,2026-05-22,1,
CH-20260522-038,ein Programm ins Leben rufen,khởi xướng một chương trình,idiom,Behörde,B1,lesen/3.4,2026-05-22,2026-05-22,1,thành ngữ formal
CH-20260522-039,im Unterschied zu + Dat,"khác với, trái với...",redemittel,Behörde,B1,lesen/3.4,2026-05-22,2026-05-22,1,so sánh formal
CH-20260522-040,von einem Modell profitieren,hưởng lợi từ một mô hình,collocation,Arbeit,B1,lesen/3.4,2026-05-22,2026-05-22,1,
CH-20260522-041,"Ich freue mich, Ihnen mitteilen zu können, dass ...",Tôi rất vui được thông báo với quý vị rằng...,redemittel,Behörde,B1,lesen/3.5,2026-05-22,2026-05-22,1,mở đầu tin tốt formal
CH-20260522-042,eine Prüfung ablegen,làm/dự một kỳ thi,collocation,Bildung,B1,lesen/3.5,2026-05-22,2026-05-22,1,
CH-20260522-043,bei einer Gastfamilie wohnen,ở với một gia đình bản xứ,collocation,Familie,B1,lesen/3.5,2026-05-22,2026-05-22,1,
CH-20260522-044,Bitte unterschreiben Sie das beiliegende Formular,Xin quý vị ký vào mẫu đính kèm,redemittel,Behörde,B1,lesen/3.5,2026-05-22,2026-05-22,1,yêu cầu formal
CH-20260522-045,Mit herzlichem Dank und freundlichen Grüßen,Với lòng cảm ơn chân thành và lời chào trân trọng,redemittel,Behörde,B1,lesen/3.5,2026-05-22,2026-05-22,1,kết thư ấm áp formal
CH-20260522-046,Vielen Dank für Ihre Anmeldung,Cảm ơn quý vị đã đăng ký,redemittel,Behörde,B1,lesen/5.1,2026-05-22,2026-05-22,1,vielen Dank für + Akk
CH-20260522-047,im kommenden Monat,trong tháng tới,idiom,general,B1,lesen/5.1,2026-05-22,2026-05-22,1,"im = in dem, Dativ Maskulin"
CH-20260522-048,"Bitte beachten Sie, dass ...",Vui lòng lưu ý rằng ...,redemittel,Behörde,B1,lesen/5.1,2026-05-22,2026-05-22,1,"dass-Nebensatz, Verb am Ende"
CH-20260522-049,"nur dann ..., wenn ...",chỉ khi ...,redemittel,general,B1,lesen/5.1,2026-05-22,2026-05-22,1,wenn-Konditionalsatz
CH-20260522-050,vergessen + zu + Inf,quên làm gì đó,redemittel,general,B1,lesen/5.2,2026-05-22,2026-05-22,1,vergessen + Infinitiv mit zu
CH-20260522-051,"Hauptsatz, deshalb + Verb + Subjekt","Mệnh đề chính, vì vậy + động từ + chủ ngữ",redemittel,general,B1,lesen/5.2,2026-05-22,2026-05-22,1,deshalb Position 1 → đảo Verb-Subjekt
CH-20260522-052,Da + Nebensatz (Grund),Vì + mệnh đề phụ,redemittel,general,B1,lesen/5.2,2026-05-22,2026-05-22,1,tương đương weil
CH-20260522-053,Obwohl + Nebensatz,Mặc dù + mệnh đề phụ,redemittel,general,B1,lesen/5.2,2026-05-22,2026-05-22,1,Konjunktion thể hiện trái mong đợi
CH-20260522-054,"Falls Sie Fragen haben, schreiben Sie mir gern.","Nếu quý vị có câu hỏi, xin cứ viết cho tôi.",redemittel,Behörde,B1,lesen/5.2,2026-05-22,2026-05-22,1,falls = konditionale Konjunktion
CH-20260522-055,aufgrund + Genitiv,"do, vì lý do + Genitiv",redemittel,general,B1,lesen/5.2,2026-05-22,2026-05-22,1,đòi hỏi Genitiv
CH-20260522-056,sich telefonisch melden,liên lạc qua điện thoại,redemittel,general,B1,lesen/5.2,2026-05-22,2026-05-22,1,"reflexiv, formell"
CH-20260522-057,Hiermit beantrage ich ...,"Bằng văn bản này, tôi xin/đề nghị ...",redemittel,Behörde,B1,lesen/5.3,2026-05-22,2026-05-22,1,Standard-Einleitung formeller Anträge
CH-20260522-058,Antrag auf Aufnahme,Đơn xin nhập (học/nhận),redemittel,Behörde,B1,lesen/5.3,2026-05-22,2026-05-22,1,Antrag auf + Akk.
CH-20260522-059,Sehr geehrte Damen und Herren,"Kính gửi quý ông, quý bà",redemittel,Behörde,B1,lesen/5.3,2026-05-22,2026-05-22,1,Standardanrede không biết tên
CH-20260522-060,Für Rückfragen stehe ich Ihnen jederzeit zur Verfügung,Tôi luôn sẵn sàng nếu quý vị có thắc mắc,redemittel,Behörde,B1,lesen/5.3,2026-05-22,2026-05-22,1,feste Höflichkeitsformel am Briefende
CH-20260522-061,Bitte bestätigen Sie den Eingang dieses Antrags,Vui lòng xác nhận việc nhận được đơn này,redemittel,Behörde,B1,lesen/5.3,2026-05-22,2026-05-22,1,typisch formal
CH-20260522-062,Über eine Einladung würden wir uns sehr freuen,Chúng tôi sẽ rất vui nếu được mời,redemittel,Behörde,B1,lesen/5.3,2026-05-22,2026-05-22,1,Konjunktiv II würden ... freuen
CH-20260522-063,"Ich bin der Meinung, dass ...",Tôi cho rằng / Theo ý tôi ...,redemittel,general,B1,lesen/5.4,2026-05-22,2026-05-22,1,dass-Objektsatz
CH-20260522-064,einen Defekt aufweisen,có lỗi/hỏng hóc,collocation,Einkauf,B1,lesen/5.4,2026-05-22,2026-05-22,1,
CH-20260522-065,"Ich bitte Sie, dies entsprechend zu veranlassen",Tôi đề nghị quý vị xử lý việc này tương ứng,redemittel,Einkauf,B1,lesen/5.4,2026-05-22,2026-05-22,1,"Infinitiv mit zu, formell"
CH-20260522-066,"es kann nicht ausgeschlossen werden, dass ...",không thể loại trừ khả năng rằng ...,redemittel,general,B1,lesen/5.4,2026-05-22,2026-05-22,1,Passiv mit Modalverb
CH-20260522-067,in der Schule,ở trường,idiom,Bildung,B1,lesen/5.5,2026-05-22,2026-05-22,1,in + Dat. (Ort)
CH-20260522-068,Probleme in + Dat haben,gặp vấn đề với (môn gì),collocation,Bildung,B1,lesen/5.5,2026-05-22,2026-05-22,1,
CH-20260522-069,Deshalb + Verb + Subjekt,Vì vậy + động từ + chủ ngữ,redemittel,general,B1,lesen/5.5,2026-05-22,2026-05-22,1,deshalb Pos.1 → đảo Verb-Subj
CH-20260522-070,Könnte mein Sohn auch ... ?,Con trai tôi cũng có thể ... được không?,redemittel,general,B1,lesen/5.5,2026-05-22,2026-05-22,1,könnte = Konjunktiv II höflich
CH-20260522-071,am Samstag,vào thứ Bảy,idiom,general,B1,lesen/5.5,2026-05-22,2026-05-22,1,am + Wochentag
CH-20260522-072,Ich hätte gern ... Informationen,Tôi muốn xin ... thông tin,redemittel,general,B1,lesen/5.5,2026-05-22,2026-05-22,1,hätte gern = Konjunktiv II
CH-20260522-073,einen Vortrag halten,"thuyết trình, trình bày báo cáo",collocation,Bildung,B1,lesen/1.6,2026-05-22,2026-05-22,1,Vortrag + halten
CH-20260522-074,Einfluss auf etwas haben,có ảnh hưởng đến điều gì,collocation,Bildung,B1,lesen/1.6,2026-05-22,2026-05-22,1,Einfluss + auf + Akk
CH-20260522-075,an die Decke hängen,treo lên trần nhà,collocation,Wohnen,B1,lesen/1.7,2026-05-22,2026-05-22,1,hängen + an + Akk (Wohin?)
CH-20260522-076,Wände neu gestalten,trang trí lại tường,collocation,Wohnen,B1,lesen/1.7,2026-05-22,2026-05-22,1,
CH-20260522-077,an etwas teilnehmen,tham gia vào điều gì,collocation,Freizeit,B1,lesen/1.8,2026-05-22,2026-05-22,1,teilnehmen an + Dat
CH-20260522-078,als DJ auflegen,chơi nhạc với tư cách DJ,collocation,Freizeit,B1,lesen/1.8,2026-05-22,2026-05-22,1,
CH-20260522-079,bei einem Getränk entspannen,thư giãn bên một ly đồ uống,idiom,Freizeit,B1,lesen/1.9,2026-05-22,2026-05-22,1,
CH-20260522-080,Livemusik hören,nghe nhạc sống,collocation,Freizeit,B1,lesen/1.9,2026-05-22,2026-05-22,1,
CH-20260522-081,Müll vermeiden und trennen,tránh và phân loại rác,redemittel,Wohnen,B1,lesen/1.10,2026-05-22,2026-05-22,1,
CH-20260522-082,Konflikte am Arbeitsplatz lösen,giải quyết mâu thuẫn nơi làm việc,redemittel,Arbeit,B1,lesen/1.10,2026-05-22,2026-05-22,1,
CH-20260522-083,über etwas klagen,than phiền/kêu (đau) về điều gì,collocation,Gesundheit,B1,lesen/1.11,2026-05-22,2026-05-22,1,klagen über + Akk
CH-20260522-084,auf Zeit,"tạm thời, có thời hạn",idiom,Wohnen,B1,lesen/1.11,2026-05-22,2026-05-22,1,
CH-20260522-085,sich an jemanden wenden,tìm đến ai để được giúp,redemittel,Behörde,B1,lesen/1.11,2026-05-22,2026-05-22,1,wenden + an + Akk
CH-20260522-086,Essen zubereiten,chuẩn bị/nấu món ăn,collocation,Einkauf,B1,lesen/1.12,2026-05-22,2026-05-22,1,
CH-20260522-087,ohne ... zu + Inf,mà không (làm gì),redemittel,general,B1,lesen/1.12,2026-05-22,2026-05-22,1,ohne + zu + Inf.
CH-20260522-088,Tabletten gegen + Akk,thuốc viên chống ...,collocation,Gesundheit,B1,lesen/1.13,2026-05-22,2026-05-22,1,gegen + Akk
CH-20260522-089,ein Ticket bestellen,đặt vé,collocation,Freizeit,B1,lesen/1.13,2026-05-22,2026-05-22,1,
CH-20260522-090,Ärger mit jemandem haben,có rắc rối với ai,collocation,Wohnen,B1,lesen/1.14,2026-05-22,2026-05-22,1,Ärger + mit + Dat
CH-20260522-091,ein ärztliches Attest brauchen,cần giấy khám sức khỏe của bác sĩ,redemittel,Gesundheit,B1,lesen/1.14,2026-05-22,2026-05-22,1,
CH-20260522-092,rechtliche Hilfe brauchen,cần trợ giúp pháp lý,collocation,Behörde,B1,lesen/1.14,2026-05-22,2026-05-22,1,
CH-20260522-093,zur Reparatur bringen,đem đi sửa,collocation,Einkauf,B1,lesen/1.15,2026-05-22,2026-05-22,1,zur Reparatur = zu + der
CH-20260522-094,ein Ticket schenken,tặng (ai đó) một tấm vé,collocation,Freizeit,B1,lesen/1.15,2026-05-22,2026-05-22,1,Dativ-Empfänger
CH-20260522-095,sich vor Betrug im Internet schützen,tự bảo vệ mình khỏi lừa đảo trên Internet,collocation,Einkauf,B1,lesen/2.1,2026-05-22,2026-05-22,1,sich + vor + Dat. + schützen
CH-20260522-096,fit und mobil bleiben,giữ cho khỏe mạnh và năng động,idiom,Gesundheit,B1,lesen/2.1,2026-05-22,2026-05-22,1,
CH-20260522-097,von Stadt zu Stadt fahren,đi từ thành phố này đến thành phố khác,collocation,Verkehr,B1,lesen/2.2,2026-05-22,2026-05-22,1,
CH-20260522-098,Erfahrung in der Gastronomie,kinh nghiệm trong ngành nhà hàng-khách sạn,collocation,Arbeit,B1,lesen/2.2,2026-05-22,2026-05-22,1,
CH-20260522-099,in entspannter Atmosphäre,trong không khí thư giãn,collocation,Freizeit,B1,lesen/2.3,2026-05-22,2026-05-22,1,
CH-20260522-100,in gutem Zustand,trong tình trạng tốt,idiom,Einkauf,B1,lesen/2.3,2026-05-22,2026-05-22,1,
CH-20260522-101,Beratung vor Ort,tư vấn tại chỗ (tại nhà),redemittel,Einkauf,B1,lesen/2.4,2026-05-22,2026-05-22,1,redemittel dịch vụ
CH-20260522-102,alles inklusive,tất cả đã bao gồm,idiom,Einkauf,B1,lesen/2.4,2026-05-22,2026-05-22,1,
CH-20260522-103,Erfahrung sammeln,tích lũy kinh nghiệm,collocation,Arbeit,B1,lesen/2.5,2026-05-22,2026-05-22,1,
CH-20260522-104,freundlich und zuverlässig,thân thiện và đáng tin cậy,collocation,Arbeit,B1,lesen/2.5,2026-05-22,2026-05-22,1,cặp tính từ điển hình mô tả ứng viên
CH-20260522-105,auf gesunde Weise zunehmen,tăng cân theo cách lành mạnh,collocation,Gesundheit,B1,lesen/2.6,2026-05-22,2026-05-22,1,
CH-20260522-106,Termine nach Vereinbarung,hẹn theo thỏa thuận,redemittel,Einkauf,B1,lesen/2.6,2026-05-22,2026-05-22,1,
CH-20260522-107,ohne Maklergebühren,không tốn phí môi giới bất động sản,redemittel,Wohnen,B1,lesen/2.7,2026-05-22,2026-05-22,1,redemittel quảng cáo nhà
CH-20260522-108,Bereitschaft zur Wochenendarbeit,sẵn sàng làm cuối tuần,collocation,Arbeit,B1,lesen/2.7,2026-05-22,2026-05-22,1,redemittel tuyển dụng
CH-20260522-109,auf Klassenarbeiten vorbereiten,chuẩn bị cho bài kiểm tra ở lớp,collocation,Bildung,B1,lesen/2.8,2026-05-22,2026-05-22,1,vorbereiten auf + Akk.
CH-20260522-110,auf Minijob-Basis,theo dạng việc làm thu nhập thấp,redemittel,Arbeit,B1,lesen/2.8,2026-05-22,2026-05-22,1,redemittel tuyển dụng
CH-20260522-111,an der frischen Luft,ở ngoài trời (không khí trong lành),idiom,Freizeit,B1,lesen/2.9,2026-05-22,2026-05-22,1,
CH-20260522-112,selbstbewusster auftreten,thể hiện một cách tự tin hơn,collocation,Bildung,B1,lesen/2.9,2026-05-22,2026-05-22,1,
CH-20260522-113,auf Ratenzahlung,trả góp theo từng đợt,redemittel,Einkauf,B1,lesen/2.10,2026-05-22,2026-05-22,1,redemittel mua hàng
CH-20260522-114,Selbstabholung möglich,có thể tự đến lấy,redemittel,Einkauf,B1,lesen/2.10,2026-05-22,2026-05-22,1,redemittel quảng cáo rao bán/cho
CH-20260522-115,vielen Dank für die Einladung zu + Dat,cảm ơn nhiều vì lời mời đến,redemittel,Behörde,B1,lesen/3.6,2026-05-22,2026-05-22,1,câu mở đầu email formal
CH-20260522-116,Ich hätte Ihnen gern zugehört,Tôi rất muốn được lắng nghe ngài,redemittel,Behörde,B1,lesen/3.6,2026-05-22,2026-05-22,1,Konjunktiv II lịch sự
CH-20260522-117,auf einer Dienstreise sein,đang đi công tác,collocation,Arbeit,B1,lesen/3.6,2026-05-22,2026-05-22,1,
CH-20260522-118,Ich wünsche Ihnen eine erfolgreiche Veranstaltung,Tôi chúc ngài một sự kiện thành công,redemittel,Behörde,B1,lesen/3.6,2026-05-22,2026-05-22,1,lời chúc formal
CH-20260522-119,in Sicht sein,"sắp có, đang trong tầm nhìn",idiom,general,B1,lesen/3.7,2026-05-22,2026-05-22,1,
CH-20260522-120,finanzielle Mittel bereitstellen,cung cấp nguồn tài chính,collocation,Behörde,B1,lesen/3.7,2026-05-22,2026-05-22,1,
